"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
2,13,2.18899704250413,259.705086014467,1.81286212328399,1.86925042026927,2.05030389190461,2.18284993236308,2.32099039778316,2.52971290862102,2.60006174846304,2020-03-08
3,14,2.20730724803982,333.984486081431,1.86961603990813,1.9206698883592,2.08376996866637,2.20244645089901,2.32554646860536,2.51052577779439,2.57261965250093,2020-03-09
4,15,2.23035556951219,432.178212045844,1.92736071597777,1.97351334495448,2.12029662903606,2.22651998991604,2.3362337505832,2.50028163978031,2.55514628129854,2020-03-10
5,16,2.20549270514793,538.619592328199,1.93753462283183,1.97860196235959,2.10873303698748,2.20248315005523,2.29897189303048,2.44264952004635,2.49055295459216,2020-03-11
6,17,2.13747531085564,644.470810514439,1.90299133945758,1.9391072631976,2.05320955564074,2.1351126997625,2.21916572137367,2.34390256899044,2.38538524292619,2020-03-12
7,18,2.04258603778374,743.190080611096,1.83807389178606,1.86969897070161,1.96937600104726,2.04071505948977,2.11375660269062,2.22185526545684,2.25773042956979,2020-03-13
8,19,1.94771561117411,841.100003018048,1.7683226762597,1.79615490969289,1.88370505402065,1.94621239115631,2.01008755699266,2.10440398839909,2.13565097137894,2020-03-14
9,20,1.88248250216235,962.087275639572,1.72279231472742,1.74764114726841,1.8256685235718,1.88125484875066,1.93795824427404,2.02151153205986,2.04914917015033,2020-03-15
10,21,1.85226384495282,1125.74325342588,1.70791206811873,1.73043669456765,1.80104846876461,1.85124805779255,1.902371926999,1.97755596320916,2.00238813642808,2020-03-16
11,22,1.82197345819478,1307.14172388288,1.69107349834941,1.71154890327672,1.77564334034538,1.82112700242871,1.86738086199845,1.93528536818133,1.95768367165013,2020-03-17
12,23,1.7614027558776,1458.70724865784,1.6434654957738,1.66194914198785,1.71974166002132,1.7606938364862,1.80229106148858,1.86327457057651,1.88336868497858,2020-03-18
13,24,1.68283609102594,1575.14566990343,1.57674107194942,1.59339447335612,1.64541634651991,1.68223683259937,1.7196025841271,1.77432184260324,1.79233660037888,2020-03-19
14,25,1.60798183487811,1677.7733781357,1.51188254370042,1.52698643929594,1.57413159728246,1.6074681662432,1.64127212101713,1.6907294075312,1.707000227227,2020-03-20
