"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
2,13,2.58822617097178,340.409055238579,2.16481505394141,2.22852700929632,2.43264123335549,2.5816694632604,2.73666474897411,2.97029171478435,3.04889492640559,2020-03-08
3,14,2.62394713453571,444.833257107566,2.2438186997099,2.30149390936633,2.4853540383802,2.61878963146628,2.7569186806486,2.96399358937409,3.03338304424662,2020-03-09
4,15,2.6957674279931,595.852936655298,2.35206877672317,2.40460976341053,2.57135212791624,2.6917031083033,2.81575257654736,3.00078916573766,3.06256195018896,2020-03-10
5,16,2.69653681068873,761.792910527867,2.39123167189201,2.43818644049445,2.58666300225334,2.69335581339551,2.80294321760822,2.96573803841982,3.0199184852004,2020-03-11
6,17,2.61447113914224,920.536913285537,2.34848240246932,2.38958661850078,2.51919192754934,2.61199638497116,2.70705273500945,2.84779738575864,2.89452319451532,2020-03-12
7,18,2.47266762239822,1055.4177173386,2.24362528851816,2.2791528360635,2.39092399653414,2.47073687482219,2.55230660436798,2.67276843658702,2.71268191052038,2020-03-13
8,19,2.33569380530156,1193.37363144248,2.13753046059194,2.1683658201541,2.2651916584282,2.33417016056505,2.40453506244734,2.50821912785305,2.54251568319181,2020-03-14
9,20,2.25709565336559,1389.90576745522,2.08232141943012,2.109598627681,2.19509888981641,2.25587399015085,2.3177606997405,2.40875991356825,2.43881235614093,2020-03-15
10,21,2.21876258300754,1652.49353970916,2.06225551249658,2.08674913436107,2.16339801635694,2.21776963600682,2.27304474548684,2.35416308377024,2.38091239372978,2020-03-16
11,22,2.15843981994071,1909.13193981774,2.01851908875808,2.04046658315443,2.10905490436071,2.15762643976916,2.20693807137816,2.27918758346115,2.30298285756433,2020-03-17
12,23,2.05504881954866,2100.46652876023,1.93097752674847,1.95047310017731,2.0113351098697,2.054378654032,2.09803198047554,2.16191054334768,2.18292856067011,2020-03-18
13,24,1.93955302061149,2249.17451060409,1.82951345604371,1.84682889323749,1.90083881832036,1.93899553109641,1.97765950081687,2.03417880168256,2.05276071763516,2020-03-19
14,25,1.8299796741723,2373.52324443915,1.73173153305435,1.74720992219547,1.79545547428213,1.82950939262368,1.86399121670776,1.91435360380173,1.93090036054643,2020-03-20
15,26,1.71156230176344,2423.87187988834,1.62357048569475,1.63744535559673,1.68066990115271,1.71115945829028,1.74201555908593,1.78705338706336,1.80184342367375,2020-03-21
16,27,1.59729037674288,2425.54386718458,1.51795355506043,1.53047213582973,1.56945567671527,1.59693976988243,1.62474287665337,1.66530457221508,1.67861965174876,2020-03-22
17,28,1.50809072339753,2442.20851542738,1.43552567582685,1.44698263037905,1.48264739071068,1.50778031386841,1.53319567516071,1.57025765369035,1.5824197889852,2020-03-23
18,29,1.43823553876246,2468.37921439569,1.37098912225522,1.38161193735364,1.41466967763389,1.4379562124181,1.4614969028466,1.49581194948893,1.5070693321863,2020-03-24
19,30,1.38169772717301,2497.71245013086,1.31873103746685,1.32868234387608,1.3596419181605,1.38144295725156,1.403475808203,1.43558215530859,1.44611224323447,2020-03-25
20,31,1.33525643579683,2529.22604875906,1.27579546914155,1.28519650280119,1.31443710896834,1.3350214687982,1.35581962191205,1.38611786384141,1.39605269164152,2020-03-26
21,32,1.28927201083073,2533.07862008445,1.23288743352214,1.24180481943887,1.26953601385714,1.28905328197375,1.30876956840287,1.33748530733391,1.34689959822087,2020-03-27
22,33,1.23737802458857,2485.86861309567,1.18385560022081,1.19232189030602,1.21864737164381,1.2371727228822,1.25588487519825,1.2831344626431,1.29206715430325,2020-03-28
23,34,1.19411495055214,2445.49558244344,1.1429523460029,1.15104662970257,1.17621301028938,1.1939205974105,1.21180502361992,1.23784622853879,1.24638204118046,2020-03-29
24,35,1.17348248367206,2472.66728202972,1.12390713755961,1.13175211481623,1.15614000537611,1.17329685114813,1.19062260118009,1.21584606275961,1.22411275780017,2020-03-30
25,36,1.17253572455717,2566.6281791835,1.12392532486973,1.13161993919749,1.15553606167257,1.17235717606169,1.18934074897759,1.2140605557963,1.22216079477924,2020-03-31
26,37,1.1831986664765,2708.11122675007,1.13521697823504,1.14281471362208,1.16642482051135,1.18302635415066,1.19978467203364,1.22417039298251,1.23215958606555,2020-04-01
27,38,1.19759859415235,2874.59570144519,1.15016285110947,1.1576768577171,1.18102173038679,1.1974322858981,1.213994162557,1.23808762372301,1.24597944832946,2020-04-02
28,39,1.20674162541572,3029.70074382046,1.15999550387952,1.16740274597661,1.19041132874582,1.20658141256556,1.22289727134938,1.24662700594027,1.25439821879997,2020-04-03
29,40,1.20100098173865,3122.2909909067,1.15527363697181,1.16252128723638,1.18503072903639,1.20084699539987,1.21680337127588,1.24000593807381,1.2476034139314,2020-04-04
30,41,1.18877526437154,3185.95553604268,1.14419007967984,1.15125824043858,1.17320737726986,1.18862741177689,1.20418197476466,1.22679662733115,1.23420067921834,2020-04-05
31,42,1.18517411366452,3294.42385684343,1.14152063873138,1.14844287317876,1.16993555932766,1.18503199395033,1.2002577407575,1.22239013775187,1.22963523955549,2020-04-06
32,43,1.18716817659732,3433.20791215735,1.14429033699732,1.15109143551923,1.17220456523008,1.18703134253113,1.20198262265099,1.22371167140488,1.23082362952684,2020-04-07
33,44,1.19019468952865,3582.17082796598,1.14804961816815,1.15473629410201,1.17549086719066,1.19006287602109,1.20475481950978,1.22610271306061,1.23308884305035,2020-04-08
34,45,1.2005940510953,3785.02212960876,1.15904682420853,1.16564067063836,1.18610336376668,1.2004671122533,1.21494635998148,1.23598043168714,1.242862658074,2020-04-09
35,46,1.21380255246546,4021.08947953093,1.17281754409071,1.17932424431866,1.19951263996891,1.21368042219153,1.22795932838274,1.2486974582434,1.25548161447998,2020-04-10
36,47,1.21667056590135,4207.43490916482,1.17645407133208,1.18284049303043,1.20265249696395,1.2165532923979,1.23056079268085,1.2509006694849,1.25755351369595,2020-04-11
37,48,1.21301216472008,4363.46639930849,1.17369284534792,1.17993831501535,1.19931024142696,1.21289976369641,1.22659155740922,1.24646942463826,1.25297024760778,2020-04-12
38,49,1.21218480840015,4548.22277786076,1.17370521546512,1.17981886162056,1.19877901845314,1.21207712027139,1.22547320533238,1.24491808925401,1.25127638204001,2020-04-13
39,50,1.21747180178299,4787.06922139627,1.17971180285189,1.18571278103653,1.20432044730903,1.21736859213086,1.23051064528806,1.2495828800873,1.25581833078121,2020-04-14
40,51,1.22523495738902,5059.4938521383,1.18814673064165,1.19404261429249,1.21232132244176,1.22513605558845,1.2380407774142,1.25676466354667,1.26288523320303,2020-04-15
41,52,1.23259801768586,5348.91687668364,1.19619470431968,1.20198332426972,1.2199264972817,1.23250333950711,1.24516632739789,1.26353566698427,1.26953937777697,2020-04-16
42,53,1.23431263432592,5610.77732425421,1.19868869935982,1.20435483104964,1.22191565276582,1.23422212352689,1.24661094811863,1.2645791781563,1.27045093327813,2020-04-17
43,54,1.21472922138989,5690.46365921622,1.18019035269652,1.18568479047741,1.20271184115596,1.21464278740123,1.22665237806054,1.24406848647612,1.24975928599671,2020-04-18
44,55,1.17647363132305,5585.49419393558,1.14324397029979,1.14853051621223,1.16491262134754,1.17639103207101,1.18794459805871,1.2046984999691,1.21017269584302,2020-04-19
45,56,1.13618038651502,5428.40307413909,1.10418937032838,1.10927902924815,1.12505069986544,1.13610111888999,1.14722366180104,1.16335213283359,1.16862187289448,2020-04-20
46,57,1.09647658801752,5232.07692566988,1.06558407881318,1.07049893616979,1.08572899826733,1.09639999345203,1.10714068036508,1.12271551086902,1.12780437667621,2020-04-21
47,58,1.05814475280465,5004.6122224359,1.02820074362451,1.03296447493392,1.04772664492841,1.05807017784338,1.06848156489635,1.0835794126286,1.0885125642151,2020-04-22
48,59,1.02520657454644,4788.10435979905,0.996012596297476,1.00065669449994,1.01504871480691,1.02513340465815,1.03528467020703,1.05000604371832,1.05481637011893,2020-04-23
49,60,0.99219960331194,4537.08021087902,0.963647682110963,0.968189127395077,0.982263981946417,0.992127277260221,1.00205638049155,1.01645678995696,1.02116254637192,2020-04-24
50,61,0.953350567436784,4208.42904893334,0.925432327202855,0.92987212532411,0.943633535052536,0.953278579759047,0.962989124518415,0.97707456606324,0.981677906542979,2020-04-25
51,62,0.914982076399937,3866.51531739838,0.887600559733314,0.891953944877552,0.905449470752022,0.914909902845696,0.924436004136068,0.938256398490675,0.942773748204247,2020-04-26
52,63,0.88564339053437,3584.02846881432,0.858564582933212,0.86286877966485,0.876213783491639,0.885570441641322,0.8949934744718,0.908666836737062,0.913136759391768,2020-04-27
53,64,0.865355954705245,3358.86797677883,0.838344238370482,0.842636729016654,0.855947366393289,0.865281641027762,0.874683532152132,0.888328671145141,0.892789988173367,2020-04-28
54,65,0.851541926447221,3172.55687118703,0.824415653622987,0.828725299211114,0.842091074765441,0.851465740566536,0.860909726357922,0.874618430705541,0.879101155887791,2020-04-29
55,66,0.851223372530791,3077.9045746418,0.823701944141834,0.828073578087221,0.841633066856745,0.851144902548348,0.860728136504644,0.874640835288351,0.879190737808259,2020-04-30
56,67,0.863317815755122,3065.31932939595,0.835152212340624,0.839625671184212,0.853501913628334,0.86323676871125,0.873045366886012,0.887286419240435,0.891944001205206,2020-05-01
57,68,0.871597397871611,3025.03226117298,0.842838725527462,0.847405735853768,0.861573358107239,0.871513688676027,0.881530184589486,0.896074599657597,0.90083178094739,2020-05-02
58,69,0.874037534525408,2950.87761935796,0.84480077563117,0.849442904456502,0.863845045052946,0.873951240626904,0.884135953333614,0.898926521034254,0.903764692701574,2020-05-03
