"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
2,13,1.27189708958828,72.98202533508,0.964274087879902,1.00887709607902,1.15498288466691,1.26451609012599,1.38076839280219,1.56009658904597,1.62145640091458,2020-03-08
3,14,1.30266763637431,97.6817147273612,1.02460621252509,1.06548941581384,1.19829530615934,1.29688151290037,1.40073434926133,1.5595841922015,1.61360555199851,2020-03-09
4,15,1.39130060205518,141.457227932755,1.13404772446927,1.17238382850943,1.29591620331692,1.3867418975894,1.48171659018069,1.62576830617292,1.6744569886868,2020-03-10
5,16,1.45814205043516,197.812118581001,1.22310558253179,1.25851028544606,1.37186349530567,1.45456079532824,1.54051726280181,1.66999025504991,1.71352859449703,2020-03-11
6,17,1.46529343340438,255.963986847152,1.25605119240126,1.28782730309681,1.38907014028798,1.46249830718255,1.53847009590953,1.65229426538789,1.69041899460173,2020-03-12
7,18,1.42434795033561,310.367081369829,1.24149453689756,1.26943668587439,1.35813296499547,1.42216965400229,1.48818857324756,1.58668974984967,1.61957972308032,2020-03-13
8,19,1.38153618241144,372.147524230165,1.2214652714873,1.24605623358801,1.32386744007221,1.3798269840898,1.4373418446824,1.52284646756988,1.55131987019643,2020-03-14
9,20,1.38221652092306,468.439213754627,1.23895814453148,1.26107891644566,1.3308606283103,1.38085726374911,1.43209075366491,1.50799074074865,1.53319915546121,2020-03-15
10,21,1.41977295342702,612.486174195554,1.28894044997532,1.30923830787521,1.37308874810288,1.41867606983255,1.46526148162544,1.53404920925791,1.55683877320339,2020-03-16
11,22,1.43867950541995,771.086571966533,1.3194428150785,1.33801146053906,1.39629106374404,1.43778485027069,1.48009270219653,1.54239932631739,1.56300032730194,2020-03-17
12,23,1.41692436205197,910.684708299609,1.30948429035063,1.3262633864497,1.37883713869238,1.41618957081374,1.45421059895932,1.51009179466589,1.52854010967258,2020-03-18
13,24,1.37500545295845,1035.98894535983,1.27856430117689,1.29365990228334,1.34089469666204,1.37439718030879,1.40845313550281,1.45842588879736,1.4749033100904,2020-03-19
14,25,1.32996160342187,1157.14815016742,1.24304668837493,1.25667703203452,1.29927864193464,1.32945211022107,1.3600891676082,1.4049841107628,1.41977188428564,2020-03-20
15,26,1.27298086216346,1247.58163249425,1.19452034419508,1.20684288876074,1.24532326856884,1.27254792262314,1.30016650797882,1.34059563778459,1.35390170813874,2020-03-21
16,27,1.21321701397346,1313.18839690793,1.14200872250936,1.15320520944768,1.18814505378897,1.21284341565961,1.23788171337461,1.27450320092692,1.28654840908413,2020-03-22
17,28,1.16828630542006,1387.95726695171,1.10278955154115,1.11309860005223,1.14524930508448,1.16795852760786,1.19096599336276,1.22459209427622,1.23564577378555,2020-03-23
