"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
2,13,1.91172321457197,251.433935970815,1.59898205199,1.64604116354053,1.79680461108412,1.90688027986882,2.02136335293692,2.19392558845506,2.25198372343629,2020-03-08
3,14,1.953337502384,331.145956402654,1.67035957280037,1.71329456508623,1.85016503799669,1.94949811704289,2.05232513226178,2.20647731760594,2.2581327121406,2020-03-09
4,15,1.98942869791994,439.728931959243,1.73578517022816,1.77455948942478,1.89761240625361,1.98642930185022,2.07797561609223,2.21452934727759,2.26011656999632,2020-03-10
5,16,1.96217077047698,554.32871387822,1.74001143742106,1.77417869748627,1.88221963667515,1.9598560756117,2.03959880358273,2.15805861385322,2.19748373446823,2020-03-11
6,17,1.89963612764317,668.848529680098,1.70637263883839,1.73623835531267,1.83040765927515,1.89783800780164,1.96690454825459,2.06916753342695,2.10311781617387,2020-03-12
7,18,1.81939535616723,776.57913920516,1.65086540298941,1.67700666614766,1.75924818072554,1.81797470701005,1.87799392908223,1.96663006284701,1.99599850220581,2020-03-13
8,19,1.75880485255098,898.624352696966,1.6095855278767,1.63280491558282,1.70571590837745,1.75765753017934,1.81064312726357,1.88871844559248,1.91454415434706,2020-03-14
9,20,1.73980238056303,1071.35971812763,1.60508384180344,1.62610951334697,1.69201436739254,1.73886070466812,1.78656388663506,1.85670741316696,1.87987227596386,2020-03-15
10,21,1.73347594093343,1291.06097947209,1.61120001858172,1.63033640772654,1.6902206846009,1.73270017080392,1.77588553599346,1.83926171191228,1.86016042618057,2020-03-16
11,22,1.69635647692455,1500.42095290028,1.58639027059122,1.60363919915877,1.65754398809231,1.69571722689336,1.73447212054147,1.7912543048972,1.80995543659992,2020-03-17
12,23,1.63159515068265,1667.65430090809,1.53308940340013,1.54856781090251,1.5968888818816,1.63106307631209,1.66572140416247,1.7164374515981,1.73312459538467,2020-03-18
13,24,1.56992659119284,1820.54258631056,1.4808575960881,1.49487317854434,1.5385902704077,1.56947534412471,1.60077100531065,1.64651925369661,1.66155995826065,2020-03-19
14,25,1.51573102620043,1965.9359466009,1.43435429952921,1.44717470130084,1.48713540753491,1.51534150256563,1.54390202230356,1.58561605538777,1.59932136202855,2020-03-20
15,26,1.45036356839107,2053.96874271861,1.37580003996378,1.38755748858325,1.42418560668919,1.45002220220379,1.47616940374621,1.51433408219853,1.52686703542658,2020-03-21
16,27,1.38874708839528,2108.86325515617,1.31976853464057,1.3306526812224,1.36454650521859,1.38844225699849,1.412615371755,1.44788130550875,1.45945795944931,2020-03-22
17,28,1.34610835747027,2179.8935848472,1.28133744184852,1.2915638175132,1.32339786516347,1.34583128868727,1.36851681397623,1.4015980061546,1.41245381987395,2020-03-23
18,29,1.31149050167568,2250.85238611134,1.25017020041483,1.25985687601639,1.29000139074707,1.31123579106839,1.33270194947415,1.36399296998022,1.37425829167713,2020-03-24
19,30,1.28114301410249,2315.93842400618,1.22275880093363,1.2319858890562,1.26069234310474,1.28090678536835,1.30133616910551,1.33110593820461,1.34086968632318,2020-03-25
20,31,1.25471660174124,2376.66850191258,1.19884219438558,1.20767617764906,1.23515305251693,1.25449580745323,1.27403946011642,1.30251017640221,1.3118457564766,2020-03-26
21,32,1.22461954331539,2406.05361541281,1.17106245471531,1.17953266501785,1.2058732373399,1.22441178294312,1.24313936678878,1.27041511217088,1.27935730940295,2020-03-27
22,33,1.18799573913361,2386.66055297496,1.13660933107279,1.14473774158892,1.17001260427313,1.18779863077419,1.20576400334405,1.23192609215955,1.24050229071842,2020-03-28
